-1.09758E+1	-8.07026E-1
-1.07591E+1	-8.06839E-1
-1.06576E+1	-8.06776E-1
-1.05437E+1	-8.06690E-1
-1.04514E+1	-8.06566E-1
-1.01465E+1	-8.06453E-1
-9.20760E+0	-8.06287E-1
-8.29842E+0	-8.06143E-1
-7.08508E+0	-8.05958E-1
-6.11509E+0	-8.05780E-1
-5.18299E+0	-8.05590E-1
-4.16143E+0	-8.05395E-1
-3.10842E+0	-8.05162E-1
-2.13459E+0	-8.04961E-1
-1.21278E+0	-8.04714E-1
-6.24284E-1	-8.04443E-1
-3.94149E-1	-8.04243E-1
-1.90947E-1	-8.04035E-1
-9.06945E-2	-8.03852E-1
-1.83232E-2	-8.03727E-1
+6.81706E-2	-8.03616E-1
+1.17548E-1	-8.03499E-1
+2.55637E-1	-8.03317E-1
+3.35435E-1	-8.02931E-1
+3.64125E-1	-8.02412E-1
+3.76637E-1	-8.01802E-1
+3.84972E-1	-8.01270E-1
+3.93206E-1	-8.00564E-1
+4.01717E-1	-7.99623E-1
+4.06653E-1	-7.98833E-1
+4.14507E-1	-7.97464E-1
+4.20759E-1	-7.95819E-1
+4.26538E-1	-7.94014E-1
+4.34959E-1	-7.90616E-1
+4.44035E-1	-7.85497E-1
+4.48852E-1	-7.81943E-1
+4.58143E-1	-7.73091E-1
+4.72393E-1	-7.51743E-1
+4.79646E-1	-7.37385E-1
+4.88599E-1	-7.08812E-1
+4.93570E-1	-6.89311E-1
+4.98091E-1	-6.68272E-1
+5.02076E-1	-6.46802E-1
+5.06047E-1	-6.21924E-1
+5.10222E-1	-5.91556E-1
+5.13140E-1	-5.67449E-1
+5.16087E-1	-5.39912E-1
+5.18660E-1	-5.14360E-1
+5.21070E-1	-4.87677E-1
+5.23883E-1	-4.53565E-1
+5.25748E-1	-4.29261E-1
+5.27493E-1	-4.04719E-1
+5.28816E-1	-3.84897E-1
+5.30446E-1	-3.59686E-1
+5.31566E-1	-3.42302E-1
+5.33934E-1	-3.00122E-1
+5.36529E-1	-2.53611E-1
+5.38647E-1	-2.07950E-1
+5.40583E-1	-1.65834E-1
+5.43417E-1	-9.85884E-2
+5.45360E-1	-4.90673E-2
+5.47066E-1	-2.60790E-3
+5.48889E-1	+4.93652E-2
+5.50657E-1	+1.01110E-1
+5.52387E-1	+1.59113E-1
+5.54161E-1	+2.19307E-1
+5.56520E-1	+3.04560E-1
+5.58939E-1	+3.94794E-1
+5.61293E-1	+4.97075E-1
+5.63371E-1	+5.89237E-1
+5.66128E-1	+7.21334E-1
+5.68980E-1	+8.69168E-1
+5.71867E-1	+1.03100E+0
+5.76142E-1	+1.29436E+0
+5.79848E-1	+1.54982E+0
+5.86145E-1	+2.04024E+0
+5.92525E-1	+2.61582E+0
+5.98281E-1	+3.21723E+0
+6.02708E-1	+3.73001E+0
+6.07704E-1	+4.36652E+0
+6.13221E-1	+5.14340E+0
+6.18586E-1	+5.97611E+0
+6.25486E-1	+7.16402E+0
+6.29958E-1	+8.00659E+0
+6.36291E-1	+9.30364E+0
+6.42390E-1	+1.06674E+1
+6.48665E-1	+1.21944E+1
+6.53830E-1	+1.35296E+1
+6.58216E-1	+1.47580E+1
+6.60528E-1	+1.54202E+1
