-1.09203E+1	-1.08882E-3
-1.04934E+1	-1.04742E-3
-1.02363E+1	-1.02091E-3
-9.66239E+0	-9.45850E-4
-8.60089E+0	-8.50536E-4
-7.88781E+0	-7.83815E-4
-7.23448E+0	-7.19776E-4
-6.48112E+0	-6.38758E-4
-5.42317E+0	-5.33614E-4
-4.52840E+0	-4.47830E-4
-3.97508E+0	-4.00471E-4
-3.34874E+0	-3.18262E-4
-2.63967E+0	-2.61073E-4
-2.07007E+0	-1.94055E-4
-1.19893E+0	-1.19888E-4
-1.02058E+0	-9.96334E-5
-7.60210E-1	-7.81876E-5
-4.03598E-1	-3.91681E-5
-2.38023E-1	-2.81473E-5
-1.87284E-1	-1.89137E-5
-8.54486E-2	-9.08433E-6
+8.49484E-2	+3.72360E-6
+2.83993E-1	+6.68697E-5
+3.90072E-1	+2.18137E-3
+4.11990E-1	+4.96218E-3
+4.29500E-1	+9.57601E-3
+4.40086E-1	+1.42485E-2
+4.47338E-1	+1.88159E-2
+4.54120E-1	+2.41002E-2
+4.59077E-1	+2.90479E-2
+4.67006E-1	+3.90086E-2
+4.71331E-1	+4.58338E-2
+4.76288E-1	+5.51639E-2
+4.80422E-1	+6.43240E-2
+4.84404E-1	+7.45786E-2
+4.87700E-1	+8.42936E-2
+4.91062E-1	+9.55110E-2
+4.94222E-1	+1.07399E-1
+4.96193E-1	+1.15539E-1
+4.97315E-1	+1.20456E-1
+4.98615E-1	+1.26397E-1
+5.00290E-1	+1.34490E-1
+5.02751E-1	+1.47299E-1
+5.04915E-1	+1.59563E-1
+5.06971E-1	+1.72152E-1
+5.09199E-1	+1.86888E-1
+5.12128E-1	+2.08165E-1
+5.15866E-1	+2.38791E-1
+5.19463E-1	+2.72395E-1
+5.22403E-1	+3.03371E-1
+5.26724E-1	+3.55016E-1
+5.30108E-1	+4.01161E-1
+5.33354E-1	+4.50977E-1
+5.36394E-1	+5.02967E-1
+5.39044E-1	+5.53035E-1
+5.41456E-1	+6.02433E-1
+5.43772E-1	+6.53891E-1
+5.45668E-1	+6.99103E-1
+5.47688E-1	+7.50438E-1
+5.49606E-1	+8.02519E-1
+5.51443E-1	+8.55426E-1
+5.52691E-1	+8.93154E-1
+5.54457E-1	+9.49175E-1
+5.56180E-1	+1.00697E+0
+5.57676E-1	+1.05978E+0
+5.58863E-1	+1.10336E+0
+5.60722E-1	+1.17538E+0
+5.62009E-1	+1.22728E+0
+5.63763E-1	+1.30152E+0
+5.65237E-1	+1.36702E+0
+5.66782E-1	+1.43885E+0
+5.68004E-1	+1.49803E+0
+5.69335E-1	+1.56486E+0
+5.70785E-1	+1.64069E+0
+5.72313E-1	+1.72406E+0
+5.74280E-1	+1.83749E+0
+5.76793E-1	+1.98980E+0
+5.82189E-1	+2.35541E+0
+5.86955E-1	+2.72270E+0
+5.91926E-1	+3.16670E+0
+5.96440E-1	+3.59414E+0
+6.03446E-1	+4.36725E+0
+6.10253E-1	+5.23413E+0
+6.16664E-1	+6.16319E+0
+6.22684E-1	+7.13982E+0
+6.27675E-1	+8.02668E+0
+6.34696E-1	+9.39947E+0
+6.39387E-1	+1.03989E+1
+6.48129E-1	+1.24497E+1
+6.53897E-1	+1.39380E+1
+6.59128E-1	+1.53774E+1
